active_calories,active_time,activity_type,ascent,current_activity_type_intensity,cycles,cycles_to_calories,cycles_to_distance,data,data16,descent,distance,duration_min,enabled,event,event_type,fit_type,garmin_product,heart_rate,intensity,local_timestamp,manufacturer,moderate_activity_minutes,number,resting_metabolic_rate,serial_number,software_version,source_file,steps,stress_level_time,stress_level_value,time_created,timestamp,timestamp_16,type,unknown_0,unknown_1,unknown_14,unknown_15,unknown_16,unknown_2,unknown_253,unknown_3,unknown_35,unknown_36,unknown_37,unknown_38,unknown_4,unknown_6,unknown_7,unknown_8,version,vigorous_activity_minutes
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,,,,,,"(4, 0, 0, 72)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,2023-06-30 14:20:00,63.0,,,,,,,,,,-50,,19.0,,,,,1.0,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,1481.0,,,,,,1057069200.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,66.0,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,39056.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,7264.0,,,,,,1057069200.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,,,,,,"(0, 12, 1, 176)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,2023-06-30 14:21:00,58.0,,,,,,,,,,-44,,19.0,,,,,1.0,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,1538.0,,,,,,1057069260.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,67.0,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,39116.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,,,,,,"(0, 0, 0, 80)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,2023-06-30 14:22:00,56.0,,,,,,,,,,-41,,19.0,,,,,1.0,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,1580.0,,,,,,1057069320.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,66.0,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,39176.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,7264.0,,,,,,1057069320.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,,,,,,"(27, 2, 0, 0)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,2023-06-30 14:23:00,66.0,,,,,,,,,,-55,,19.0,,,,,1.0,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,1616.0,,,,,,1057069380.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,67.0,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,39236.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,,,,,,"(2, 32, 19, 11)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,2023-06-30 14:24:00,51.0,,,,,,,,,,-35,,19.0,,,,,1.0,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,1607.0,,,,,,1057069440.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,68.0,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,39296.0,,,,,,,,,,,,,,,,,,,
