garmin_product,manufacturer,number,serial_number,time_created,type,unknown_6,software_version,timestamp,version,unknown_0,unknown_1,unknown_2,activity_type,cycles_to_calories,cycles_to_distance,local_timestamp,resting_metabolic_rate,unknown_7,unknown_8,active_calories,active_time,cycles,distance,duration_min,steps,unknown_35,unknown_36,unknown_37,unknown_38,unknown_253,enabled,data,data16,event,event_type,stress_level_time,stress_level_value,unknown_3,unknown_4,heart_rate,timestamp_16,current_activity_type_intensity,intensity,unknown_14,unknown_15,unknown_16,source_file,fit_type
3289.0,garmin,73.0,3394818363.0,2023-07-01 05:09:00,monitoring_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197215094280_WELLNESS.fit,WELLNESS
3289.0,garmin,,3394818363.0,,,,26.0,2023-07-01 05:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197215094280_WELLNESS.fit,WELLNESS
,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197215094280_WELLNESS.fit,WELLNESS
,,,,,,,,,,0.0,0.0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197215094280_WELLNESS.fit,WELLNESS
,,,,,,,,2023-07-01 05:09:00,,,,,"(6, 1)","(0.0542, 0.1708)","(1.7016, 2.5524)",2023-07-01 15:09:00,2163.0,"(6400, 6400)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197215094280_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,"(19, 105, 2, 63, 0, 2, 0, 6, 176, 0, 0, 13, 96, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197215094280_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,"(19, 105, 2, 63, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197215094280_WELLNESS.fit,WELLNESS
,,,,,,,,2023-07-01 05:09:00,,,,,generic,,,,,,,19.0,333.0,0.0,0.0,909.0,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197215094280_WELLNESS.fit,WELLNESS
,,,,,,,,2023-07-01 05:09:00,,,,,walking,,,,,,,433.0,5722.0,,6411.2,909.0,7320.0,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197215094280_WELLNESS.fit,WELLNESS
,,,,,,,,2023-07-01 05:09:00,,,,,running,,,,,,,464.0,2610.0,,6751.34,909.0,6840.0,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197215094280_WELLNESS.fit,WELLNESS
,,,,,,,,2023-07-01 05:09:00,,,,,,,,,,,,,,,,,,270379.0,232260.0,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197215094280_WELLNESS.fit,WELLNESS
,,,,,,,,2023-07-01 05:09:00,,,,,,,,,,,,,,,,,,,,3.0,57.0,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197215094280_WELLNESS.fit,WELLNESS
,,,,,,,,,,46.0,50.0,,,,,,,,,,,,,,,,,,,1057122540.0,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197215094280_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1057122540.0,on,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197215094280_WELLNESS.fit,WELLNESS
,,,,,,,,2023-07-01 05:09:39,,,,,,,,,,,,,,,,,,,,,,,,200.0,200.0,78.0,marker,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197215094280_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,2023-07-01 05:10:00,-2.0,29.0,1.0,,,,,,,,C:\CrossFitCoach\fit_files\197215094280_WELLNESS.fit,WELLNESS
,,,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,1057122600.0,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197215094280_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,26920.0,,,,,,C:\CrossFitCoach\fit_files\197215094280_WELLNESS.fit,WELLNESS
,,,,,,,,,,7274.0,,,,,,,,,,,,,,,,,,,,1057122600.0,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197215094280_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,"(47, 105, 2, 63, 3, 0, 80, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197215094280_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,"(47, 105, 2, 63, 3, 3, 158, 21, 20, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197215094280_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,"(47, 105, 2, 63, 3, 4, 233, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197215094280_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,"(47, 105, 2, 63, 3, 5, 148, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197215094280_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,"(47, 105, 2, 63, 3, 6, 85, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197215094280_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,"(47, 105, 2, 63, 3, 7, 146, 48, 135, 67, 0, 0, 240, 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197215094280_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,"(47, 105, 2, 63, 3, 8, 152, 66, 104, 67, 0, 0, 16, 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197215094280_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,"(47, 105, 2, 63, 3, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197215094280_WELLNESS.fit,WELLNESS
