garmin_product,manufacturer,number,serial_number,time_created,type,unknown_7,hardware_version,software_version,unknown_2,unknown_3,unknown_4,ant_device_number,ant_network,ant_transmission_type,battery_status,battery_voltage,cum_operating_time,device_index,device_type,sensor_position,source_type,timestamp,unknown_13,unknown_15,unknown_16,unknown_17,unknown_23,unknown_24,unknown_29,unknown_30,unknown_31,unknown_32,unknown_8,unknown_9,unknown_0,unknown_1,unknown_253,data,event,event_group,event_type,unknown_19,unknown_20,unknown_10,unknown_11,unknown_12,unknown_14,unknown_5,unknown_6,source_file,fit_type
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1057075500.0,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080201987_SLEEP_DATA.fit,SLEEP_DATA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1057081260.0,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080201987_SLEEP_DATA.fit,SLEEP_DATA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,1057081860.0,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080201987_SLEEP_DATA.fit,SLEEP_DATA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1057087260.0,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080201987_SLEEP_DATA.fit,SLEEP_DATA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,1057087860.0,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080201987_SLEEP_DATA.fit,SLEEP_DATA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1057090800.0,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080201987_SLEEP_DATA.fit,SLEEP_DATA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,1057091700.0,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080201987_SLEEP_DATA.fit,SLEEP_DATA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1057093380.0,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080201987_SLEEP_DATA.fit,SLEEP_DATA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,1057094160.0,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080201987_SLEEP_DATA.fit,SLEEP_DATA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1057095240.0,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080201987_SLEEP_DATA.fit,SLEEP_DATA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1057097340.0,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080201987_SLEEP_DATA.fit,SLEEP_DATA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1057098540.0,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080201987_SLEEP_DATA.fit,SLEEP_DATA
,,,,,,,,,"(17, 42, 11, 4, 4, 1, 4, 1, 3, 1, 61, 2, 17, 17, 16, 32, 1, 19, 14, 3, 14, 4, 30, 29, 4, 11, 3, 2, 0, 7, 6, 3, 7, 4, 8, 13, 2, 1, 15, 40, 1, 55, 1, 251, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)",,,,,,,,,,,,,,,,,,,,,,,,,,85140.0,43.0,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080201987_SLEEP_DATA.fit,SLEEP_DATA
