garmin_product,manufacturer,number,serial_number,time_created,type,unknown_7,hardware_version,software_version,unknown_2,unknown_3,unknown_4,ant_device_number,ant_network,ant_transmission_type,battery_status,battery_voltage,cum_operating_time,device_index,device_type,sensor_position,source_type,timestamp,unknown_13,unknown_15,unknown_16,unknown_17,unknown_23,unknown_24,unknown_29,unknown_30,unknown_31,unknown_32,unknown_8,unknown_9,product,unknown_0,unknown_1,unknown_14,unknown_253,unknown_5,unknown_6,local_timestamp,source_file,fit_type
3289.0,garmin,,3394818363.0,2023-06-30 22:49:05,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,HRV_STATUS
,,,,,,,,2600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,HRV_STATUS
3289.0,garmin,,3394818363.0,,,,,26.0,,,,,,,,,,creator,,,local,2023-06-30 13:39:00,,,,,,,"(None, None, None, None, None, None)",,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,HRV_STATUS
,,,,,,,,,,,,,,,,,,1,10.0,,local,2023-06-30 13:39:00,,,,,,,"(None, None, None, None, None, None)",,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,HRV_STATUS
,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1057066740.0,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,HRV_STATUS
,,,,,,,,,,,,,,,,,,,,,,2023-06-30 13:39:00,,,,,,,,,,,,,,,,,,,,2023-06-30 23:39:00,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,HRV_STATUS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3840.0,,,1057066827.0,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,HRV_STATUS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3712.0,,,1057067127.0,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,HRV_STATUS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3456.0,,,1057067427.0,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,HRV_STATUS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4736.0,,,1057067727.0,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,HRV_STATUS
