Set,Exercise Name,Time,Rest,Reps,Weight,Volume,SessionStart,LocalDate,Sport,File,FileBytes
1,Exercise None,00:03.2,,0,,,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
2,Exercise None,00:46.4,,11,60 kg,660 kg,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
3,Exercise None,02:04.5,,11,60 kg,660 kg,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
4,Exercise None,02:10.2,,10,60 kg,600 kg,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
5,Exercise None,01:38.4,,12,60 kg,720 kg,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
6,Exercise None,02:12.6,,4,60 kg,240 kg,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
7,Exercise None,02:17.2,,4,30 kg,120 kg,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
8,Exercise None,01:27.0,,7,30 kg,210 kg,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
9,Exercise None,01:34.0,,5,30 kg,150 kg,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
10,Exercise None,01:35.6,,6,30 kg,180 kg,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
11,Exercise None,01:46.9,,8,30 kg,240 kg,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
12,Exercise None,01:06.7,,4,,,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
13,Exercise None,01:31.0,,4,,,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
14,Exercise None,02:28.7,,5,,,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
15,Exercise None,00:09.5,,2,,,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
16,Exercise None,00:04.5,,,,,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
17,Exercise None,00:06.0,,0,,,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
1,Exercise None,06:23.8,,24,,,20/01/2022 2:14,20/01/2022,training,j.campton_121303983108.fit,31812
2,Exercise None,00:55.2,,7,50 kg,350 kg,20/01/2022 2:14,20/01/2022,training,j.campton_121303983108.fit,31812
3,Exercise None,02:04.6,,4,50 kg,200 kg,20/01/2022 2:14,20/01/2022,training,j.campton_121303983108.fit,31812
4,Exercise None,01:49.3,,6,50 kg,300 kg,20/01/2022 2:14,20/01/2022,training,j.campton_121303983108.fit,31812
5,Exercise None,01:52.9,,6,50 kg,300 kg,20/01/2022 2:14,20/01/2022,training,j.campton_121303983108.fit,31812
6,Exercise None,02:15.5,,5,50 kg,250 kg,20/01/2022 2:14,20/01/2022,training,j.campton_121303983108.fit,31812
7,Exercise None,02:49.9,,12,50 kg,600 kg,20/01/2022 2:14,20/01/2022,training,j.campton_121303983108.fit,31812
8,Exercise None,02:35.5,,5,50 kg,250 kg,20/01/2022 2:14,20/01/2022,training,j.campton_121303983108.fit,31812
9,Exercise None,00:43.9,,7,50 kg,350 kg,20/01/2022 2:14,20/01/2022,training,j.campton_121303983108.fit,31812
10,Exercise None,01:45.8,,7,50 kg,350 kg,20/01/2022 2:14,20/01/2022,training,j.campton_121303983108.fit,31812
11,Exercise None,02:11.6,,6,50 kg,300 kg,20/01/2022 2:14,20/01/2022,training,j.campton_121303983108.fit,31812
12,Exercise None,01:58.2,,5,,,20/01/2022 2:14,20/01/2022,training,j.campton_121303983108.fit,31812
13,Exercise None,01:37.4,,6,,,20/01/2022 2:14,20/01/2022,training,j.campton_121303983108.fit,31812
14,Exercise None,01:43.2,,3,,,20/01/2022 2:14,20/01/2022,training,j.campton_121303983108.fit,31812
15,Exercise None,00:06.3,,0,,,20/01/2022 2:14,20/01/2022,training,j.campton_121303983108.fit,31812
1,Exercise None,00:40.0,,9,,,24/01/2022 0:00,24/01/2022,training,j.campton_121821170715.fit,30837
2,Exercise None,00:42.9,,10,70 kg,700 kg,24/01/2022 0:00,24/01/2022,training,j.campton_121821170715.fit,30837
3,Exercise None,01:54.5,,4,70 kg,280 kg,24/01/2022 0:00,24/01/2022,training,j.campton_121821170715.fit,30837
4,Exercise None,01:46.1,,6,70 kg,420 kg,24/01/2022 0:00,24/01/2022,training,j.campton_121821170715.fit,30837
5,Exercise None,02:59.8,,6,70 kg,420 kg,24/01/2022 0:00,24/01/2022,training,j.campton_121821170715.fit,30837
6,Exercise None,01:32.9,,11,70 kg,770 kg,24/01/2022 0:00,24/01/2022,training,j.campton_121821170715.fit,30837
7,Exercise None,02:47.0,,8,35 kg,280 kg,24/01/2022 0:00,24/01/2022,training,j.campton_121821170715.fit,30837
8,Exercise None,01:50.7,,6,35 kg,210 kg,24/01/2022 0:00,24/01/2022,training,j.campton_121821170715.fit,30837
9,Exercise None,01:57.0,,4,35 kg,140 kg,24/01/2022 0:00,24/01/2022,training,j.campton_121821170715.fit,30837
10,Exercise None,01:50.7,,5,35 kg,175 kg,24/01/2022 0:00,24/01/2022,training,j.campton_121821170715.fit,30837
11,Exercise None,02:24.8,,7,35 kg,245 kg,24/01/2022 0:00,24/01/2022,training,j.campton_121821170715.fit,30837
12,Exercise None,01:17.0,,5,,,24/01/2022 0:00,24/01/2022,training,j.campton_121821170715.fit,30837
13,Exercise None,02:10.0,,7,,,24/01/2022 0:00,24/01/2022,training,j.campton_121821170715.fit,30837
14,Exercise None,01:35.7,,5,,,24/01/2022 0:00,24/01/2022,training,j.campton_121821170715.fit,30837
15,Exercise None,01:35.6,,4,,,24/01/2022 0:00,24/01/2022,training,j.campton_121821170715.fit,30837
16,Exercise None,00:07.4,,,,,24/01/2022 0:00,24/01/2022,training,j.campton_121821170715.fit,30837
1,Exercise None,02:56.4,,9,,,25/01/2022 5:51,25/01/2022,training,j.campton_121986115149.fit,29765
2,Exercise None,00:45.8,,5,55 kg,275 kg,25/01/2022 5:51,25/01/2022,training,j.campton_121986115149.fit,29765
3,Exercise None,02:01.3,,5,55 kg,275 kg,25/01/2022 5:51,25/01/2022,training,j.campton_121986115149.fit,29765
4,Exercise None,01:49.4,,7,55 kg,385 kg,25/01/2022 5:51,25/01/2022,training,j.campton_121986115149.fit,29765
5,Exercise None,01:59.9,,7,55 kg,385 kg,25/01/2022 5:51,25/01/2022,training,j.campton_121986115149.fit,29765
6,Exercise None,02:03.4,,4,55 kg,220 kg,25/01/2022 5:51,25/01/2022,training,j.campton_121986115149.fit,29765
7,Exercise None,03:06.5,,4,55 kg,220 kg,25/01/2022 5:51,25/01/2022,training,j.campton_121986115149.fit,29765
8,Exercise None,01:24.3,,5,55 kg,275 kg,25/01/2022 5:51,25/01/2022,training,j.campton_121986115149.fit,29765
9,Exercise None,01:44.6,,7,55 kg,385 kg,25/01/2022 5:51,25/01/2022,training,j.campton_121986115149.fit,29765
10,Exercise None,01:47.7,,4,55 kg,220 kg,25/01/2022 5:51,25/01/2022,training,j.campton_121986115149.fit,29765
11,Exercise None,01:55.1,,6,55 kg,330 kg,25/01/2022 5:51,25/01/2022,training,j.campton_121986115149.fit,29765
12,Exercise None,01:32.6,,4,,,25/01/2022 5:51,25/01/2022,training,j.campton_121986115149.fit,29765
13,Exercise None,01:46.9,,4,,,25/01/2022 5:51,25/01/2022,training,j.campton_121986115149.fit,29765
14,Exercise None,01:33.3,,3,,,25/01/2022 5:51,25/01/2022,training,j.campton_121986115149.fit,29765
15,Exercise None,01:27.2,,8,,,25/01/2022 5:51,25/01/2022,training,j.campton_121986115149.fit,29765
16,Exercise None,00:06.8,,,,,25/01/2022 5:51,25/01/2022,training,j.campton_121986115149.fit,29765
1,Exercise None,04:39.7,,23,,,26/01/2022 19:09,26/01/2022,training,j.campton_122197235876.fit,30364
2,Exercise None,00:40.0,,9,80 kg,720 kg,26/01/2022 19:09,26/01/2022,training,j.campton_122197235876.fit,30364
3,Exercise None,01:38.6,,11,80 kg,880 kg,26/01/2022 19:09,26/01/2022,training,j.campton_122197235876.fit,30364
4,Exercise None,01:37.0,,10,80 kg,800 kg,26/01/2022 19:09,26/01/2022,training,j.campton_122197235876.fit,30364
5,Exercise None,01:40.3,,6,80 kg,480 kg,26/01/2022 19:09,26/01/2022,training,j.campton_122197235876.fit,30364
6,Exercise None,01:38.5,,10,80 kg,800 kg,26/01/2022 19:09,26/01/2022,training,j.campton_122197235876.fit,30364
7,Exercise None,04:06.6,,4,35 kg,140 kg,26/01/2022 19:09,26/01/2022,training,j.campton_122197235876.fit,30364
8,Exercise None,01:40.0,,9,35 kg,315 kg,26/01/2022 19:09,26/01/2022,training,j.campton_122197235876.fit,30364
9,Exercise None,02:28.3,,7,35 kg,245 kg,26/01/2022 19:09,26/01/2022,training,j.campton_122197235876.fit,30364
10,Exercise None,01:18.7,,5,35 kg,175 kg,26/01/2022 19:09,26/01/2022,training,j.campton_122197235876.fit,30364
11,Exercise None,01:21.6,,6,35 kg,210 kg,26/01/2022 19:09,26/01/2022,training,j.campton_122197235876.fit,30364
12,Exercise None,00:57.4,,6,,,26/01/2022 19:09,26/01/2022,training,j.campton_122197235876.fit,30364
13,Exercise None,01:08.4,,5,,,26/01/2022 19:09,26/01/2022,training,j.campton_122197235876.fit,30364
14,Exercise None,01:13.6,,3,,,26/01/2022 19:09,26/01/2022,training,j.campton_122197235876.fit,30364
15,Exercise None,01:31.2,,3,,,26/01/2022 19:09,26/01/2022,training,j.campton_122197235876.fit,30364
16,Exercise None,00:06.9,,,,,26/01/2022 19:09,26/01/2022,training,j.campton_122197235876.fit,30364
1,Exercise None,04:00.9,,12,,,30/01/2022 5:35,30/01/2022,training,j.campton_122639573364.fit,32295
2,Exercise None,00:37.5,,5,60 kg,300 kg,30/01/2022 5:35,30/01/2022,training,j.campton_122639573364.fit,32295
3,Exercise None,01:45.2,,4,60 kg,240 kg,30/01/2022 5:35,30/01/2022,training,j.campton_122639573364.fit,32295
4,Exercise None,02:02.2,,5,60 kg,300 kg,30/01/2022 5:35,30/01/2022,training,j.campton_122639573364.fit,32295
5,Exercise None,01:52.1,,6,60 kg,360 kg,30/01/2022 5:35,30/01/2022,training,j.campton_122639573364.fit,32295
6,Exercise None,01:41.6,,5,60 kg,300 kg,30/01/2022 5:35,30/01/2022,training,j.campton_122639573364.fit,32295
7,Exercise None,01:43.9,,5,60 kg,300 kg,30/01/2022 5:35,30/01/2022,training,j.campton_122639573364.fit,32295
8,Exercise None,01:49.8,,5,60 kg,300 kg,30/01/2022 5:35,30/01/2022,training,j.campton_122639573364.fit,32295
9,Exercise None,01:25.6,,4,60 kg,240 kg,30/01/2022 5:35,30/01/2022,training,j.campton_122639573364.fit,32295
10,Exercise None,01:19.9,,4,60 kg,240 kg,30/01/2022 5:35,30/01/2022,training,j.campton_122639573364.fit,32295
11,Exercise None,01:18.5,,5,60 kg,300 kg,30/01/2022 5:35,30/01/2022,training,j.campton_122639573364.fit,32295
12,Exercise None,01:25.4,,5,60 kg,300 kg,30/01/2022 5:35,30/01/2022,training,j.campton_122639573364.fit,32295
13,Exercise None,01:11.2,,7,60 kg,420 kg,30/01/2022 5:35,30/01/2022,training,j.campton_122639573364.fit,32295
14,Exercise None,01:38.8,,5,,,30/01/2022 5:35,30/01/2022,training,j.campton_122639573364.fit,32295
15,Exercise None,01:36.5,,5,,,30/01/2022 5:35,30/01/2022,training,j.campton_122639573364.fit,32295
16,Exercise None,01:28.3,,6,,,30/01/2022 5:35,30/01/2022,training,j.campton_122639573364.fit,32295
17,Exercise None,01:41.5,,4,,,30/01/2022 5:35,30/01/2022,training,j.campton_122639573364.fit,32295
18,Exercise None,00:08.6,,,,,30/01/2022 5:35,30/01/2022,training,j.campton_122639573364.fit,32295
1,Exercise None,03:16.5,,24,0 kg,0 kg,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
2,Exercise None,01:39.1,,,,,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
3,Exercise None,00:33.2,,4,85 kg,340 kg,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
4,Exercise None,01:26.3,,,,,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
5,Exercise None,00:29.4,,7,,,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
6,Exercise None,00:54.1,,,,,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
7,Exercise None,00:32.9,,4,85 kg,340 kg,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
8,Exercise None,01:17.3,,,,,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
9,Exercise None,00:32.5,,4,85 kg,340 kg,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
10,Exercise None,01:02.3,,,,,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
11,Exercise None,00:33.1,,4,85 kg,340 kg,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
12,Exercise None,00:49.3,,,,,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
13,Exercise None,00:30.7,,4,85 kg,340 kg,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
14,Exercise None,02:01.3,,,,,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
15,Exercise None,00:05.1,,4,40 kg,160 kg,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
16,Exercise None,00:47.8,,,,,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
17,Exercise None,00:31.5,,4,40 kg,160 kg,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
18,Exercise None,00:48.0,,,,,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
19,Exercise None,00:35.7,,4,40 kg,160 kg,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
20,Exercise None,00:49.5,,,,,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
21,Exercise None,00:32.5,,4,40 kg,160 kg,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
22,Exercise None,01:16.3,,,,,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
23,Exercise None,00:30.7,,4,40 kg,160 kg,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
24,Exercise None,00:48.3,,,,,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
25,Exercise None,00:31.6,,4,40 kg,160 kg,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
26,Exercise None,01:09.1,,,,,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
27,Exercise None,00:28.9,,5,30 kg,150 kg,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
28,Exercise None,00:55.3,,,,,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
29,Exercise None,00:47.6,,5,30 kg,150 kg,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
30,Exercise None,00:34.6,,,,,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
31,Exercise None,00:36.4,,5,30 kg,150 kg,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
32,Exercise None,00:41.7,,,,,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
33,Exercise None,00:31.8,,5,30 kg,150 kg,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
34,Exercise None,00:54.8,,,,,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
35,Exercise None,00:31.1,,5,30 kg,150 kg,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
36,Exercise None,00:04.2,,,,,31/01/2022 5:01,31/01/2022,training,j.campton_122776439523.fit,30874
1,Exercise None,03:56.4,,17,,,1/02/2022 4:01,1/02/2022,training,j.campton_122905410024.fit,30563
2,Exercise None,00:34.5,,4,60 kg,240 kg,1/02/2022 4:01,1/02/2022,training,j.campton_122905410024.fit,30563
3,Exercise None,01:21.2,,4,60 kg,240 kg,1/02/2022 4:01,1/02/2022,training,j.campton_122905410024.fit,30563
4,Exercise None,03:12.4,,4,60 kg,240 kg,1/02/2022 4:01,1/02/2022,training,j.campton_122905410024.fit,30563
5,Exercise None,01:42.4,,9,60 kg,540 kg,1/02/2022 4:01,1/02/2022,training,j.campton_122905410024.fit,30563
6,Exercise None,02:02.0,,5,60 kg,300 kg,1/02/2022 4:01,1/02/2022,training,j.campton_122905410024.fit,30563
7,Exercise None,01:57.9,,5,60 kg,300 kg,1/02/2022 4:01,1/02/2022,training,j.campton_122905410024.fit,30563
8,Exercise None,02:29.3,,11,60 kg,660 kg,1/02/2022 4:01,1/02/2022,training,j.campton_122905410024.fit,30563
9,Exercise None,01:29.6,,10,60 kg,600 kg,1/02/2022 4:01,1/02/2022,training,j.campton_122905410024.fit,30563
10,Exercise None,01:22.3,,6,60 kg,360 kg,1/02/2022 4:01,1/02/2022,training,j.campton_122905410024.fit,30563
11,Exercise None,01:28.0,,4,60 kg,240 kg,1/02/2022 4:01,1/02/2022,training,j.campton_122905410024.fit,30563
12,Exercise None,01:22.2,,4,60 kg,240 kg,1/02/2022 4:01,1/02/2022,training,j.campton_122905410024.fit,30563
13,Exercise None,01:36.6,,4,60 kg,240 kg,1/02/2022 4:01,1/02/2022,training,j.campton_122905410024.fit,30563
14,Exercise None,01:25.0,,4,,,1/02/2022 4:01,1/02/2022,training,j.campton_122905410024.fit,30563
15,Exercise None,01:02.3,,6,,,1/02/2022 4:01,1/02/2022,training,j.campton_122905410024.fit,30563
16,Exercise None,01:10.1,,4,,,1/02/2022 4:01,1/02/2022,training,j.campton_122905410024.fit,30563
17,Exercise None,01:19.4,,5,,,1/02/2022 4:01,1/02/2022,training,j.campton_122905410024.fit,30563
18,Exercise None,00:08.3,,,,,1/02/2022 4:01,1/02/2022,training,j.campton_122905410024.fit,30563
1,Exercise None,06:36.8,,10,,,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
2,Exercise None,00:58.3,,,,,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
3,Exercise None,00:35.7,,4,85 kg,340 kg,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
4,Exercise None,00:52.7,,,,,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
5,Exercise None,00:37.4,,4,85 kg,340 kg,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
6,Exercise None,00:48.0,,,,,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
7,Exercise None,00:39.6,,4,85 kg,340 kg,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
8,Exercise None,00:49.0,,,,,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
9,Exercise None,00:34.2,,4,85 kg,340 kg,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
10,Exercise None,00:54.3,,,,,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
11,Exercise None,00:34.4,,4,85 kg,340 kg,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
12,Exercise None,00:55.4,,,,,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
13,Exercise None,00:33.6,,4,85 kg,340 kg,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
14,Exercise None,01:22.8,,,,,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
15,Exercise None,01:58.8,,5,30 kg,150 kg,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
16,Exercise None,00:43.4,,,,,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
17,Exercise None,00:33.3,,5,30 kg,150 kg,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
18,Exercise None,00:47.7,,,,,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
19,Exercise None,00:36.2,,5,30 kg,150 kg,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
20,Exercise None,00:47.8,,,,,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
21,Exercise None,00:34.4,,5,30 kg,150 kg,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
22,Exercise None,00:51.3,,,,,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
23,Exercise None,00:35.9,,5,30 kg,150 kg,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
24,Exercise None,00:26.2,,,,,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
25,Exercise None,00:29.3,,5,30 kg,150 kg,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
26,Exercise None,01:08.7,,,,,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
27,Exercise None,00:03.9,,5,30 kg,150 kg,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
28,Exercise None,00:41.7,,,,,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
29,Exercise None,00:32.1,,5,30 kg,150 kg,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
30,Exercise None,00:42.4,,,,,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
31,Exercise None,00:35.7,,5,30 kg,150 kg,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
32,Exercise None,00:39.5,,,,,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
33,Exercise None,00:26.6,,5,30 kg,150 kg,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
34,Exercise None,00:03.3,,,,,3/02/2022 5:26,3/02/2022,training,j.campton_123265734872.fit,30113
1,Exercise None,03:10.9,,12,,,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
2,Exercise None,01:11.3,,,,,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
3,Exercise None,00:40.6,,5,60 kg,300 kg,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
4,Exercise None,01:30.6,,,,,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
5,Exercise None,00:05.8,,5,60 kg,300 kg,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
6,Exercise None,00:58.7,,,,,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
7,Exercise None,00:41.9,,5,60 kg,300 kg,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
8,Exercise None,01:00.9,,,,,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
9,Exercise None,00:43.3,,5,60 kg,300 kg,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
10,Exercise None,01:06.7,,,,,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
11,Exercise None,00:42.3,,5,60 kg,300 kg,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
12,Exercise None,01:22.9,,,,,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
13,Exercise None,00:30.0,,10,20 kg,200 kg,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
14,Exercise None,01:07.3,,,,,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
15,Exercise None,00:27.9,,5,60 kg,300 kg,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
16,Exercise None,00:56.3,,,,,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
17,Exercise None,00:28.8,,5,60 kg,300 kg,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
18,Exercise None,02:04.5,,,,,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
19,Exercise None,00:24.0,,5,60 kg,300 kg,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
20,Exercise None,00:58.3,,,,,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
21,Exercise None,00:25.8,,5,60 kg,300 kg,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
22,Exercise None,00:57.8,,,,,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
23,Exercise None,00:26.0,,5,60 kg,300 kg,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
24,Exercise None,01:59.8,,,,,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
25,Exercise None,00:20.0,,5,0 kg,0 kg,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
26,Exercise None,01:23.3,,,,,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
27,Exercise None,00:21.9,,5,0 kg,0 kg,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
28,Exercise None,01:23.9,,,,,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
29,Exercise None,00:21.0,,5,0 kg,0 kg,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
30,Exercise None,01:23.2,,,,,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
31,Exercise None,00:20.8,,5,0 kg,0 kg,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
32,Exercise None,01:29.4,,,,,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
33,Exercise None,00:23.3,,5,0 kg,0 kg,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
34,Exercise None,00:13.7,,,,,4/02/2022 22:09,4/02/2022,training,j.campton_123405102955.fit,31864
1,Exercise None,03:25.7,,4,,,8/02/2022 5:36,8/02/2022,training,j.campton_123867517587.fit,30193
2,Exercise None,00:45.8,,,,,8/02/2022 5:36,8/02/2022,training,j.campton_123867517587.fit,30193
3,Exercise None,00:04.7,,10,20 kg,200 kg,8/02/2022 5:36,8/02/2022,training,j.campton_123867517587.fit,30193
4,Exercise None,01:14.1,,,,,8/02/2022 5:36,8/02/2022,training,j.campton_123867517587.fit,30193
5,Exercise None,00:39.1,,6,60 kg,360 kg,8/02/2022 5:36,8/02/2022,training,j.campton_123867517587.fit,30193
6,Exercise None,01:09.0,,,,,8/02/2022 5:36,8/02/2022,training,j.campton_123867517587.fit,30193
7,Exercise None,00:44.6,,6,60 kg,360 kg,8/02/2022 5:36,8/02/2022,training,j.campton_123867517587.fit,30193
8,Exercise None,01:05.3,,,,,8/02/2022 5:36,8/02/2022,training,j.campton_123867517587.fit,30193
9,Exercise None,00:44.6,,6,60 kg,360 kg,8/02/2022 5:36,8/02/2022,training,j.campton_123867517587.fit,30193
10,Exercise None,01:01.6,,,,,8/02/2022 5:36,8/02/2022,training,j.campton_123867517587.fit,30193
11,Exercise None,00:43.2,,6,60 kg,360 kg,8/02/2022 5:36,8/02/2022,training,j.campton_123867517587.fit,30193
12,Exercise None,01:08.1,,,,,8/02/2022 5:36,8/02/2022,training,j.campton_123867517587.fit,30193
13,Exercise None,00:24.3,,10,20 kg,200 kg,8/02/2022 5:36,8/02/2022,training,j.campton_123867517587.fit,30193
14,Exercise None,01:04.3,,,,,8/02/2022 5:36,8/02/2022,training,j.campton_123867517587.fit,30193
15,Exercise None,00:25.4,,6,60 kg,360 kg,8/02/2022 5:36,8/02/2022,training,j.campton_123867517587.fit,30193
