LocalDate,Sessions,Sets,TotalReps,TotalVolume_kg,TopWeight_kg,AvgWeight_kg,WorkTime_s,RestTime_s,Density_mean,Deadlift_Vol_kg,Olympic_Vol_kg,Other_Vol_kg,Press_Vol_kg,Squat_Vol_kg,UpperPullPush_Vol_kg,Deadlift_Top_kg,Olympic_Top_kg,Other_Top_kg,Press_Top_kg,Squat_Top_kg,UpperPullPush_Top_kg,Deadlift_Sets,Olympic_Sets,Other_Sets,Press_Sets,Squat_Sets,UpperPullPush_Sets
2024-10-09,1,22,67.0,1290.0,40.0,21.363636363636363,1407.6,0.0,1.0,,,,,,,,,,,,,,,,,,
2024-10-11,1,61,269.0,5615.0,60.0,30.183333333333334,3509.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2024-10-14,1,60,252.0,8290.0,65.0,36.166666666666664,3300.4,0.0,1.0,,,,,,,,,,,,,,,,,,
2024-10-16,1,28,62.0,1682.5,57.5,23.75,1537.2,0.0,1.0,,,,,,,,,,,,,,,,,,
2024-10-17,1,74,231.0,6575.0,60.0,35.87837837837838,3446.7,0.0,1.0,,,,,,,,,,,,,,,,,,
2024-10-20,1,66,278.0,9520.0,67.5,38.333333333333336,3729.8,0.0,1.0,,,,,,,,,,,,,,,,,,
2024-10-27,1,76,241.0,5885.0,60.0,30.723684210526315,3925.3,0.0,1.0,,,,,,,,,,,,,,,,,,
2024-10-28,1,68,255.0,7850.0,72.5,38.60294117647059,3556.2,0.0,1.0,,,,,,,,,,,,,,,,,,
2024-11-03,1,68,206.0,6115.0,67.5,38.6764705882353,3440.9,0.0,1.0,,,,,,,,,,,,,,,,,,
2024-11-07,1,52,186.0,5300.0,60.0,38.84615384615385,2078.9,0.0,1.0,,,,,,,,,,,,,,,,,,
2024-11-19,1,58,163.0,4759.0,128.0,45.275862068965516,3304.4,0.0,1.0,,,,,,,,,,,,,,,,,,
2024-11-21,1,68,330.0,9504.0,70.0,32.88235294117647,3627.8,0.0,1.0,,,,,,,,,,,,,,,,,,
2024-11-26,1,70,322.0,10720.0,70.0,34.285714285714285,3458.9,0.0,1.0,,,,,,,,,,,,,,,,,,
2024-12-07,1,52,148.0,1100.0,30.0,12.115384615384615,1978.5,0.0,1.0,,,,,,,,,,,,,,,,,,
2024-12-10,1,88,310.0,10632.5,85.0,40.39772727272727,4743.2,0.0,1.0,,,,,,,,,,,,,,,,,,
2024-12-15,1,102,295.0,10645.0,85.0,34.80392156862745,5456.8,0.0,1.0,,,,,,,,,,,,,,,,,,
2024-12-16,1,24,37.0,910.0,30.0,24.583333333333332,1115.7,0.0,1.0,,,,,,,,,,,,,,,,,,
2024-12-20,1,48,95.0,3700.0,75.0,41.875,3190.1,0.0,1.0,,,,,,,,,,,,,,,,,,
2024-12-22,1,32,64.0,3065.0,75.0,50.9375,2438.8,0.0,1.0,,,,,,,,,,,,,,,,,,
2024-12-25,1,106,313.0,11430.0,115.0,37.83018867924528,6528.3,0.0,1.0,,,,,,,,,,,,,,,,,,
2024-12-27,1,108,314.0,11175.0,115.0,37.592592592592595,6839.2,0.0,1.0,,,,,,,,,,,,,,,,,,
2024-12-28,1,26,28.0,0.0,0.0,0.0,2259.2999999999997,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-01-05,1,84,286.0,9670.0,95.0,28.571428571428573,4911.4,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-01-11,1,106,374.0,13595.0,95.0,31.9811320754717,6398.6,0.0,1.0,,,,,,,,,,,,,,,,,,
